Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
23:01:16 Feb 27 2024,90,71,0,0,0
23:01:20 Feb 27 2024,91,75,0,0,0
23:01:24 Feb 27 2024,92,74,0,0,0
23:01:28 Feb 27 2024,92,72,0,0,0
23:01:32 Feb 27 2024,92,73,0,0,0
23:01:36 Feb 27 2024,93,74,0,0,0
23:01:40 Feb 27 2024,94,74,0,0,0
23:01:44 Feb 27 2024,94,72,0,0,0
23:01:48 Feb 27 2024,94,71,0,0,0
23:01:52 Feb 27 2024,92,71,0,0,0
23:01:56 Feb 27 2024,92,72,0,0,0
23:02:00 Feb 27 2024,93,72,0,0,0
23:02:04 Feb 27 2024,93,70,0,0,0
23:02:08 Feb 27 2024,92,70,0,0,0
23:02:12 Feb 27 2024,91,70,0,0,0
23:02:16 Feb 27 2024,91,70,0,0,0
23:02:20 Feb 27 2024,91,71,0,0,0
23:02:24 Feb 27 2024,92,72,0,0,0
23:02:28 Feb 27 2024,93,73,0,0,0
23:02:32 Feb 27 2024,94,72,0,0,0
23:02:36 Feb 27 2024,93,71,0,0,0
23:02:40 Feb 27 2024,93,71,0,0,0
23:02:44 Feb 27 2024,93,70,0,0,0
23:02:48 Feb 27 2024,93,70,0,0,0
23:02:52 Feb 27 2024,93,72,0,0,0
23:02:56 Feb 27 2024,94,73,0,0,0
23:03:00 Feb 27 2024,93,71,0,0,0
23:03:04 Feb 27 2024,92,72,0,0,0
23:03:08 Feb 27 2024,92,73,0,0,0
23:03:12 Feb 27 2024,92,72,0,0,0
23:03:16 Feb 27 2024,92,72,0,0,0
23:03:20 Feb 27 2024,92,74,0,0,0
23:03:24 Feb 27 2024,94,73,0,0,0
23:03:28 Feb 27 2024,94,71,0,0,0
23:03:32 Feb 27 2024,94,71,0,0,0
23:03:36 Feb 27 2024,94,72,0,0,0
23:03:40 Feb 27 2024,95,71,0,0,0
23:03:44 Feb 27 2024,95,72,0,0,0
23:03:48 Feb 27 2024,94,74,0,0,0
23:03:52 Feb 27 2024,94,73,0,0,0
23:03:56 Feb 27 2024,94,71,0,0,0
23:04:00 Feb 27 2024,93,71,0,0,0
23:04:04 Feb 27 2024,93,70,0,0,0
23:04:08 Feb 27 2024,93,70,0,0,0
23:04:12 Feb 27 2024,92,73,1,0,0
23:04:16 Feb 27 2024,92,73,11,0,0
23:04:20 Feb 27 2024,92,73,0,0,0
23:04:24 Feb 27 2024,92,74,0,0,0
23:04:28 Feb 27 2024,93,79,0,0,0
23:04:32 Feb 27 2024,93,82,0,0,0
23:04:36 Feb 27 2024,93,82,0,0,0
23:04:40 Feb 27 2024,94,72,0,0,0
23:04:44 Feb 27 2024,96,68,0,0,0
23:04:48 Feb 27 2024,97,68,0,0,0
23:04:52 Feb 27 2024,95,68,0,0,0
23:04:56 Feb 27 2024,94,68,0,0,0
23:05:00 Feb 27 2024,92,72,0,0,0
23:05:04 Feb 27 2024,91,75,0,0,0
23:05:08 Feb 27 2024,91,80,0,0,0
23:05:12 Feb 27 2024,91,81,0,0,0
23:05:16 Feb 27 2024,92,80,0,0,0
23:05:20 Feb 27 2024,94,76,0,0,0
23:05:24 Feb 27 2024,96,70,0,0,0
23:05:28 Feb 27 2024,96,68,0,0,0
23:05:32 Feb 27 2024,96,71,0,0,0
23:05:36 Feb 27 2024,94,73,0,0,0
23:05:40 Feb 27 2024,92,71,0,0,0
23:05:44 Feb 27 2024,91,71,0,0,0
23:05:48 Feb 27 2024,91,72,0,0,0
23:05:52 Feb 27 2024,93,77,0,0,0
23:05:56 Feb 27 2024,94,76,0,0,0
23:06:00 Feb 27 2024,94,69,0,0,0
23:06:04 Feb 27 2024,94,68,0,0,0
23:06:08 Feb 27 2024,95,70,0,0,0
23:06:12 Feb 27 2024,95,71,0,0,0
23:06:16 Feb 27 2024,95,70,0,0,0
23:06:20 Feb 27 2024,94,69,0,0,0
23:06:24 Feb 27 2024,93,71,0,0,0
23:06:28 Feb 27 2024,92,73,0,0,0
23:06:32 Feb 27 2024,92,71,0,0,0
23:06:36 Feb 27 2024,91,70,0,0,0
23:06:40 Feb 27 2024,90,72,0,0,0
23:06:44 Feb 27 2024,91,74,0,0,0
23:06:48 Feb 27 2024,92,74,0,0,0
23:06:52 Feb 27 2024,92,73,0,0,0
23:06:56 Feb 27 2024,91,72,0,0,0
23:07:00 Feb 27 2024,91,72,0,0,0
