Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
10:43:18 Feb 28 2024,94,80,0,0,0
10:43:22 Feb 28 2024,95,80,0,0,0
10:43:26 Feb 28 2024,96,78,0,0,0
10:43:30 Feb 28 2024,96,76,0,0,0
10:43:34 Feb 28 2024,96,75,0,0,0
10:43:38 Feb 28 2024,96,75,0,0,0
10:43:42 Feb 28 2024,96,77,0,0,0
10:43:46 Feb 28 2024,96,77,0,0,0
10:43:50 Feb 28 2024,96,78,0,0,0
10:43:54 Feb 28 2024,96,79,0,0,0
10:43:58 Feb 28 2024,96,78,0,0,0
10:44:02 Feb 28 2024,96,77,0,0,0
10:44:06 Feb 28 2024,96,75,0,0,0
10:44:10 Feb 28 2024,97,75,0,0,0
10:44:14 Feb 28 2024,97,76,0,0,0
10:44:18 Feb 28 2024,97,79,0,0,0
10:44:22 Feb 28 2024,96,79,0,0,0
10:44:26 Feb 28 2024,96,78,0,0,0
10:44:30 Feb 28 2024,96,80,0,0,0
10:44:34 Feb 28 2024,96,79,0,0,0
10:44:38 Feb 28 2024,96,79,0,0,0
10:44:42 Feb 28 2024,96,79,0,0,0
10:44:46 Feb 28 2024,96,80,0,0,0
10:44:50 Feb 28 2024,96,79,0,0,0
10:44:54 Feb 28 2024,96,77,0,0,0
10:44:58 Feb 28 2024,96,77,0,0,0
10:45:02 Feb 28 2024,96,78,0,0,0
10:45:06 Feb 28 2024,96,78,0,0,0
10:45:10 Feb 28 2024,96,79,0,0,0
10:45:14 Feb 28 2024,96,79,0,0,0
10:45:18 Feb 28 2024,96,80,1,0,0
10:45:22 Feb 28 2024,97,81,0,0,0
10:45:26 Feb 28 2024,97,79,0,0,0
10:45:30 Feb 28 2024,97,78,1,0,0
10:45:34 Feb 28 2024,97,78,0,0,0
10:45:38 Feb 28 2024,96,80,0,0,0
10:45:42 Feb 28 2024,96,81,0,0,0
10:45:46 Feb 28 2024,97,78,0,0,0
10:45:50 Feb 28 2024,97,79,8,0,0
10:45:54 Feb 28 2024,97,81,8,0,0
10:45:58 Feb 28 2024,96,85,0,0,0
10:46:02 Feb 28 2024,95,82,0,0,0
10:46:06 Feb 28 2024,96,78,0,0,0
10:46:10 Feb 28 2024,97,79,0,0,0
10:46:14 Feb 28 2024,97,81,0,0,0
10:46:18 Feb 28 2024,97,80,0,0,0
10:46:22 Feb 28 2024,97,79,0,0,0
10:46:26 Feb 28 2024,97,79,0,0,0
10:46:30 Feb 28 2024,96,77,0,0,0
10:46:34 Feb 28 2024,96,77,0,0,0
10:46:38 Feb 28 2024,97,79,0,0,0
10:46:42 Feb 28 2024,97,79,15,0,0
10:46:46 Feb 28 2024,97,79,5,0,0
10:46:50 Feb 28 2024,97,79,10,0,0
10:46:54 Feb 28 2024,97,79,29,0,0
10:46:58 Feb 28 2024,97,79,52,0,0
10:47:02 Feb 28 2024,97,79,14,0,0
10:47:06 Feb 28 2024,97,82,1,0,0
10:47:10 Feb 28 2024,97,84,0,0,0
10:47:14 Feb 28 2024,97,83,8,0,0
10:47:18 Feb 28 2024,97,83,16,0,0
10:47:22 Feb 28 2024,97,72,6,0,0
10:47:26 Feb 28 2024,97,72,4,0,0
10:47:30 Feb 28 2024,97,71,7,0,0
10:47:34 Feb 28 2024,97,72,20,0,0
10:47:38 Feb 28 2024,97,73,13,0,0
10:47:42 Feb 28 2024,97,73,35,0,0
10:47:46 Feb 28 2024,97,70,22,0,0
10:47:50 Feb 28 2024,97,70,69,0,0
10:47:54 Feb 28 2024,97,70,10,0,0
10:47:58 Feb 28 2024,97,74,73,0,0
10:48:02 Feb 28 2024,98,80,1,0,0
10:48:06 Feb 28 2024,98,81,4,0,0
10:48:10 Feb 28 2024,98,84,2,0,0
10:48:14 Feb 28 2024,97,84,19,0,0
10:48:18 Feb 28 2024,97,86,3,0,0
10:48:22 Feb 28 2024,97,88,1,0,0
10:48:26 Feb 28 2024,97,87,16,0,0
10:48:30 Feb 28 2024,97,85,20,0,0
10:48:34 Feb 28 2024,97,85,7,0,0
10:48:38 Feb 28 2024,97,83,8,0,0
10:48:42 Feb 28 2024,97,83,0,0,0
10:48:46 Feb 28 2024,96,84,0,0,0
10:48:50 Feb 28 2024,96,81,0,0,0
10:48:54 Feb 28 2024,96,79,0,0,0
10:48:58 Feb 28 2024,96,81,0,0,0
10:49:02 Feb 28 2024,96,78,0,0,0
10:49:06 Feb 28 2024,96,74,17,0,0
10:49:10 Feb 28 2024,96,74,15,0,0
10:49:14 Feb 28 2024,96,74,1,0,0
10:49:18 Feb 28 2024,95,76,12,0,0
10:49:22 Feb 28 2024,95,82,0,0,0
10:49:26 Feb 28 2024,95,82,8,0,0
10:49:30 Feb 28 2024,96,82,0,0,0
10:49:34 Feb 28 2024,96,81,35,0,0
10:49:38 Feb 28 2024,96,81,93,0,0
10:49:42 Feb 28 2024,96,80,0,0,0
10:49:46 Feb 28 2024,96,80,19,0,0
10:49:50 Feb 28 2024,95,78,6,0,0
10:49:54 Feb 28 2024,95,78,30,0,0
10:49:58 Feb 28 2024,95,78,32,0,0
10:50:02 Feb 28 2024,96,79,34,0,0
10:50:06 Feb 28 2024,96,83,41,0,0
10:50:10 Feb 28 2024,96,86,7,0,0
10:50:14 Feb 28 2024,96,90,18,0,0
10:50:18 Feb 28 2024,96,90,30,0,0
10:50:22 Feb 28 2024,96,92,1,0,0
10:50:26 Feb 28 2024,96,92,6,0,0
10:50:30 Feb 28 2024,96,92,6,0,0
10:50:34 Feb 28 2024,96,94,5,0,0
10:50:38 Feb 28 2024,96,96,5,0,0
10:50:42 Feb 28 2024,95,95,114,0,0
10:50:46 Feb 28 2024,95,95,13,0,0
10:50:50 Feb 28 2024,96,92,1,0,0
10:50:54 Feb 28 2024,96,94,4,0,0
10:50:58 Feb 28 2024,97,92,51,0,0
10:51:02 Feb 28 2024,97,91,7,0,0
10:51:06 Feb 28 2024,97,91,47,0,0
10:51:10 Feb 28 2024,97,91,22,0,0
10:51:14 Feb 28 2024,97,91,119,0,0
10:51:18 Feb 28 2024,97,91,29,0,0
10:51:22 Feb 28 2024,97,92,12,0,0
10:51:26 Feb 28 2024,97,91,4,0,0
10:51:30 Feb 28 2024,97,92,80,0,0
10:51:34 Feb 28 2024,97,89,7,0,0
10:51:38 Feb 28 2024,97,88,11,0,0
10:51:42 Feb 28 2024,97,86,2,0,0
10:51:46 Feb 28 2024,97,85,15,0,0
10:51:50 Feb 28 2024,97,86,1,0,0
10:51:54 Feb 28 2024,97,86,18,0,0
10:51:58 Feb 28 2024,97,92,22,0,0
10:52:02 Feb 28 2024,97,91,17,0,0
10:52:06 Feb 28 2024,97,91,42,0,0
10:52:10 Feb 28 2024,97,97,5,0,0
10:52:14 Feb 28 2024,97,97,10,0,0
10:52:18 Feb 28 2024,97,97,33,0,0
10:52:22 Feb 28 2024,97,100,1,0,0
10:52:26 Feb 28 2024,97,100,15,0,0
10:52:30 Feb 28 2024,97,103,6,0,0
10:52:34 Feb 28 2024,96,100,0,0,0
10:52:38 Feb 28 2024,94,100,77,0,0
10:52:42 Feb 28 2024,94,101,11,0,0
10:52:46 Feb 28 2024,93,100,0,0,0
10:52:50 Feb 28 2024,93,96,1,0,0
10:52:54 Feb 28 2024,95,89,0,0,0
10:52:58 Feb 28 2024,95,89,0,0,0
10:53:02 Feb 28 2024,95,88,52,0,0
10:53:06 Feb 28 2024,95,88,21,0,0
10:53:10 Feb 28 2024,95,88,44,0,0
10:53:14 Feb 28 2024,95,88,16,0,0
10:53:18 Feb 28 2024,96,84,0,0,0
10:53:22 Feb 28 2024,96,79,0,0,0
10:53:26 Feb 28 2024,96,79,0,0,0
10:53:30 Feb 28 2024,97,77,0,0,0
10:53:34 Feb 28 2024,97,80,0,0,0
10:53:38 Feb 28 2024,97,79,1,0,0
10:53:42 Feb 28 2024,97,74,0,0,0
10:53:46 Feb 28 2024,97,75,1,0,0
10:53:50 Feb 28 2024,97,75,5,0,0
10:53:54 Feb 28 2024,97,75,1,0,0
10:53:58 Feb 28 2024,97,74,0,0,0
10:54:02 Feb 28 2024,97,73,4,0,0
10:54:06 Feb 28 2024,97,74,0,0,0
10:54:10 Feb 28 2024,97,77,0,0,0
10:54:14 Feb 28 2024,97,76,0,0,0
10:54:18 Feb 28 2024,97,76,1,0,0
10:54:22 Feb 28 2024,97,76,14,0,0
10:54:26 Feb 28 2024,97,76,37,0,0
10:54:30 Feb 28 2024,97,76,19,0,0
10:54:34 Feb 28 2024,97,76,5,0,0
10:54:38 Feb 28 2024,97,76,2,0,0
10:54:42 Feb 28 2024,97,76,10,0,0
10:54:46 Feb 28 2024,97,78,36,0,0
10:54:50 Feb 28 2024,97,78,9,0,0
10:54:54 Feb 28 2024,97,78,26,0,0
10:54:58 Feb 28 2024,97,78,27,0,0
10:55:02 Feb 28 2024,97,76,45,0,0
10:55:06 Feb 28 2024,97,76,3,0,0
10:55:10 Feb 28 2024,98,82,0,0,0
10:55:14 Feb 28 2024,97,81,18,0,0
10:55:18 Feb 28 2024,96,85,0,0,0
10:55:22 Feb 28 2024,96,86,0,0,0
10:55:26 Feb 28 2024,96,84,0,0,0
10:55:30 Feb 28 2024,96,81,0,0,0
10:55:34 Feb 28 2024,97,80,0,0,0
10:55:38 Feb 28 2024,97,80,0,0,0
10:55:42 Feb 28 2024,97,80,0,0,0
10:55:46 Feb 28 2024,97,79,0,0,0
10:55:50 Feb 28 2024,97,79,0,0,0
10:55:54 Feb 28 2024,96,81,2,0,0
10:55:58 Feb 28 2024,96,81,0,0,0
10:56:02 Feb 28 2024,96,81,0,0,0
10:56:06 Feb 28 2024,96,84,0,0,0
10:56:10 Feb 28 2024,96,84,35,0,0
10:56:14 Feb 28 2024,96,86,24,0,0
10:56:18 Feb 28 2024,96,87,4,0,0
10:56:22 Feb 28 2024,97,86,1,0,0
10:56:26 Feb 28 2024,97,85,0,0,0
10:56:30 Feb 28 2024,96,88,1,0,0
10:56:34 Feb 28 2024,96,90,0,0,0
10:56:38 Feb 28 2024,96,87,0,0,0
10:56:42 Feb 28 2024,96,85,28,0,0
10:56:46 Feb 28 2024,96,85,24,0,0
10:56:50 Feb 28 2024,96,86,7,0,0
10:56:54 Feb 28 2024,96,86,10,0,0
10:56:58 Feb 28 2024,96,84,0,0,0
10:57:02 Feb 28 2024,97,82,0,0,0
10:57:06 Feb 28 2024,97,78,0,0,0
10:57:10 Feb 28 2024,97,77,0,0,0
10:57:14 Feb 28 2024,96,81,0,0,0
10:57:18 Feb 28 2024,96,82,0,0,0
10:57:22 Feb 28 2024,96,80,4,0,0
10:57:26 Feb 28 2024,96,80,0,0,0
10:57:30 Feb 28 2024,96,82,0,0,0
10:57:34 Feb 28 2024,96,83,10,0,0
10:57:38 Feb 28 2024,96,81,10,0,0
10:57:42 Feb 28 2024,96,81,2,0,0
10:57:46 Feb 28 2024,96,79,10,0,0
10:57:50 Feb 28 2024,97,75,0,0,0
10:57:54 Feb 28 2024,97,77,0,0,0
10:57:58 Feb 28 2024,97,78,0,0,0
10:58:02 Feb 28 2024,97,78,0,0,0
10:58:06 Feb 28 2024,96,80,0,0,0
10:58:10 Feb 28 2024,96,82,0,0,0
10:58:14 Feb 28 2024,96,82,0,0,0
10:58:18 Feb 28 2024,96,83,0,0,0
10:58:22 Feb 28 2024,96,81,0,0,0
10:58:26 Feb 28 2024,96,81,0,0,0
10:58:30 Feb 28 2024,97,86,0,0,0
10:58:34 Feb 28 2024,97,87,0,0,0
10:58:38 Feb 28 2024,97,85,0,0,0
10:58:42 Feb 28 2024,96,85,0,0,0
10:58:46 Feb 28 2024,96,85,7,0,0
10:58:50 Feb 28 2024,96,85,3,0,0
10:58:54 Feb 28 2024,96,88,6,0,0
10:58:58 Feb 28 2024,96,85,0,0,0
10:59:02 Feb 28 2024,96,84,2,0,0
10:59:06 Feb 28 2024,96,84,0,0,0
10:59:10 Feb 28 2024,95,82,0,0,0
10:59:14 Feb 28 2024,95,82,0,0,0
10:59:18 Feb 28 2024,95,87,0,0,0
10:59:22 Feb 28 2024,96,86,0,0,0
10:59:26 Feb 28 2024,96,87,0,0,0
10:59:30 Feb 28 2024,96,89,9,0,0
10:59:34 Feb 28 2024,96,89,8,0,0
10:59:38 Feb 28 2024,96,85,0,0,0
10:59:42 Feb 28 2024,97,85,11,0,0
10:59:46 Feb 28 2024,97,82,1,0,0
10:59:50 Feb 28 2024,97,85,21,0,0
10:59:54 Feb 28 2024,97,85,39,0,0
10:59:58 Feb 28 2024,97,86,1,0,0
11:00:02 Feb 28 2024,96,87,0,0,0
11:00:06 Feb 28 2024,96,89,1,0,0
11:00:10 Feb 28 2024,97,88,0,0,0
11:00:14 Feb 28 2024,97,88,6,0,0
11:00:18 Feb 28 2024,96,86,7,0,0
11:00:22 Feb 28 2024,96,86,8,0,0
11:00:26 Feb 28 2024,96,86,2,0,0
11:00:30 Feb 28 2024,96,84,8,0,0
11:00:34 Feb 28 2024,95,78,0,0,0
11:00:38 Feb 28 2024,94,77,0,0,0
11:00:42 Feb 28 2024,94,76,25,0,0
11:00:46 Feb 28 2024,94,77,1,0,0
11:00:50 Feb 28 2024,94,78,1,0,0
11:00:54 Feb 28 2024,95,80,1,0,0
11:00:58 Feb 28 2024,97,79,12,0,0
11:01:02 Feb 28 2024,97,78,1,0,0
11:01:06 Feb 28 2024,97,78,1,0,0
11:01:10 Feb 28 2024,97,77,0,0,0
11:01:14 Feb 28 2024,96,77,0,0,0
11:01:18 Feb 28 2024,96,78,0,0,0
11:01:22 Feb 28 2024,96,78,0,0,0
11:01:26 Feb 28 2024,96,80,0,0,0
11:01:30 Feb 28 2024,96,82,0,0,0
11:01:34 Feb 28 2024,96,83,0,0,0
11:01:38 Feb 28 2024,96,84,0,0,0
11:01:42 Feb 28 2024,96,83,0,0,0
11:01:46 Feb 28 2024,96,82,1,0,0
11:01:50 Feb 28 2024,96,83,18,0,0
11:01:54 Feb 28 2024,97,80,0,0,0
11:01:58 Feb 28 2024,97,77,2,0,0
11:02:02 Feb 28 2024,97,76,18,0,0
11:02:06 Feb 28 2024,97,78,9,0,0
11:02:10 Feb 28 2024,97,78,8,0,0
11:02:14 Feb 28 2024,96,81,69,0,0
11:02:18 Feb 28 2024,96,81,121,0,0
11:02:22 Feb 28 2024,96,82,9,0,0
11:02:26 Feb 28 2024,96,80,8,0,0
11:02:30 Feb 28 2024,96,80,97,0,0
11:02:34 Feb 28 2024,96,82,41,0,0
11:02:38 Feb 28 2024,96,82,59,0,0
11:02:42 Feb 28 2024,95,81,8,0,0
11:02:46 Feb 28 2024,95,78,10,0,0
11:02:50 Feb 28 2024,94,84,0,0,0
11:02:54 Feb 28 2024,94,77,4,0,0
11:02:58 Feb 28 2024,94,71,0,0,0
11:03:02 Feb 28 2024,96,71,4,0,0
11:03:06 Feb 28 2024,96,73,1,0,0
11:03:10 Feb 28 2024,97,74,4,0,0
11:03:14 Feb 28 2024,97,75,0,0,0
11:03:18 Feb 28 2024,97,75,3,0,0
11:03:22 Feb 28 2024,97,75,14,0,0
11:03:26 Feb 28 2024,97,75,1,0,0
11:03:30 Feb 28 2024,97,75,11,0,0
11:03:34 Feb 28 2024,97,73,0,0,0
11:03:38 Feb 28 2024,96,72,0,0,0
11:03:42 Feb 28 2024,96,73,0,0,0
11:03:46 Feb 28 2024,96,77,0,0,0
11:03:50 Feb 28 2024,97,81,6,0,0
11:03:54 Feb 28 2024,97,84,0,0,0
11:03:58 Feb 28 2024,96,86,1,0,0
11:04:02 Feb 28 2024,96,85,5,0,0
11:04:06 Feb 28 2024,96,79,0,0,0
11:04:10 Feb 28 2024,97,72,1,0,0
11:04:14 Feb 28 2024,97,70,0,0,0
11:04:18 Feb 28 2024,97,71,44,0,0
11:04:22 Feb 28 2024,97,71,12,0,0
11:04:26 Feb 28 2024,96,72,4,0,0
11:04:30 Feb 28 2024,97,75,16,0,0
11:04:34 Feb 28 2024,97,76,0,0,0
11:04:38 Feb 28 2024,97,76,0,0,0
11:04:42 Feb 28 2024,96,73,4,0,0
11:04:46 Feb 28 2024,96,73,23,0,0
11:04:50 Feb 28 2024,96,73,12,0,0
11:04:54 Feb 28 2024,96,73,16,0,0
11:04:58 Feb 28 2024,96,73,8,0,0
11:05:02 Feb 28 2024,96,73,0,0,0
11:05:06 Feb 28 2024,96,73,2,0,0
11:05:10 Feb 28 2024,96,75,0,0,0
11:05:14 Feb 28 2024,96,75,1,0,0
11:05:18 Feb 28 2024,96,77,3,0,0
11:05:22 Feb 28 2024,95,79,11,0,0
11:05:26 Feb 28 2024,95,78,0,0,0
11:05:30 Feb 28 2024,96,75,0,0,0
11:05:34 Feb 28 2024,96,76,0,0,0
11:05:38 Feb 28 2024,96,76,7,0,0
11:05:42 Feb 28 2024,96,77,2,0,0
11:05:46 Feb 28 2024,96,76,0,0,0
11:05:50 Feb 28 2024,95,76,0,0,0
11:05:54 Feb 28 2024,96,75,2,0,0
11:05:58 Feb 28 2024,96,75,3,0,0
11:06:02 Feb 28 2024,96,76,4,0,0
11:06:06 Feb 28 2024,96,76,4,0,0
11:06:10 Feb 28 2024,96,76,10,0,0
11:06:14 Feb 28 2024,96,76,0,0,0
11:06:18 Feb 28 2024,96,76,0,0,0
11:06:22 Feb 28 2024,96,76,0,0,0
11:06:26 Feb 28 2024,96,75,0,0,0
11:06:30 Feb 28 2024,96,76,1,0,0
11:06:34 Feb 28 2024,96,76,11,0,0
11:06:38 Feb 28 2024,96,76,0,0,0
11:06:42 Feb 28 2024,96,79,1,0,0
11:06:46 Feb 28 2024,96,79,0,0,0
11:06:50 Feb 28 2024,96,78,13,0,0
11:06:54 Feb 28 2024,96,78,25,0,0
11:06:58 Feb 28 2024,96,78,6,0,0
11:07:02 Feb 28 2024,96,77,3,0,0
11:07:06 Feb 28 2024,96,77,4,0,0
11:07:10 Feb 28 2024,96,74,0,0,0
11:07:14 Feb 28 2024,95,74,0,0,0
11:07:18 Feb 28 2024,95,73,0,0,0
11:07:22 Feb 28 2024,96,73,0,0,0
11:07:26 Feb 28 2024,96,73,0,0,0
11:07:30 Feb 28 2024,97,73,0,0,0
11:07:34 Feb 28 2024,97,75,10,0,0
11:07:38 Feb 28 2024,96,76,6,0,0
11:07:42 Feb 28 2024,95,78,0,0,0
11:07:46 Feb 28 2024,95,77,10,0,0
11:07:50 Feb 28 2024,95,77,6,0,0
11:07:54 Feb 28 2024,95,77,22,0,0
11:07:58 Feb 28 2024,95,77,11,0,0
11:08:02 Feb 28 2024,95,77,8,0,0
11:08:06 Feb 28 2024,95,77,4,0,0
11:08:10 Feb 28 2024,95,79,4,0,0
11:08:14 Feb 28 2024,95,83,2,0,0
11:08:18 Feb 28 2024,95,83,10,0,0
11:08:22 Feb 28 2024,94,78,10,0,0
11:08:26 Feb 28 2024,95,70,15,0,0
11:08:30 Feb 28 2024,95,70,13,0,0
11:08:34 Feb 28 2024,95,72,21,0,0
11:08:38 Feb 28 2024,96,73,33,0,0
11:08:42 Feb 28 2024,96,75,5,0,0
11:08:46 Feb 28 2024,96,74,8,0,0
11:08:50 Feb 28 2024,96,70,1,0,0
11:08:54 Feb 28 2024,97,79,1,0,0
11:08:58 Feb 28 2024,97,75,11,0,0
11:09:02 Feb 28 2024,97,77,12,0,0
11:09:06 Feb 28 2024,97,74,0,0,0
11:09:10 Feb 28 2024,97,70,15,0,0
11:09:14 Feb 28 2024,98,67,0,0,0
11:09:18 Feb 28 2024,98,72,36,0,0
11:09:22 Feb 28 2024,97,76,5,0,0
11:09:26 Feb 28 2024,96,76,49,0,0
11:09:30 Feb 28 2024,96,76,18,0,0
11:09:34 Feb 28 2024,96,78,42,0,0
11:09:38 Feb 28 2024,96,78,6,0,0
11:09:42 Feb 28 2024,96,78,1,0,0
11:09:46 Feb 28 2024,95,81,8,0,0
11:09:50 Feb 28 2024,94,83,8,0,0
11:09:54 Feb 28 2024,93,86,2,0,0
11:09:58 Feb 28 2024,94,83,0,0,0
11:10:02 Feb 28 2024,94,83,2,0,0
11:10:06 Feb 28 2024,95,73,46,0,0
11:10:10 Feb 28 2024,95,73,2,0,0
11:10:14 Feb 28 2024,95,69,1,0,0
11:10:18 Feb 28 2024,95,68,85,0,0
11:10:22 Feb 28 2024,95,68,1,0,0
11:10:26 Feb 28 2024,95,68,2,0,0
11:10:30 Feb 28 2024,95,67,1,0,0
11:10:34 Feb 28 2024,96,68,0,0,0
11:10:38 Feb 28 2024,97,67,10,0,0
11:10:42 Feb 28 2024,97,73,5,0,0
11:10:46 Feb 28 2024,97,73,9,0,0
11:10:50 Feb 28 2024,97,73,45,0,0
11:10:54 Feb 28 2024,97,73,3,0,0
11:10:58 Feb 28 2024,97,73,14,0,0
11:11:02 Feb 28 2024,96,75,3,0,0
11:11:06 Feb 28 2024,97,77,5,0,0
11:11:10 Feb 28 2024,97,75,12,0,0
11:11:14 Feb 28 2024,97,72,6,0,0
11:11:18 Feb 28 2024,97,72,18,0,0
11:11:22 Feb 28 2024,97,73,30,0,0
11:11:26 Feb 28 2024,97,74,13,0,0
11:11:30 Feb 28 2024,97,74,13,0,0
11:11:34 Feb 28 2024,96,72,14,0,0
11:11:38 Feb 28 2024,96,76,2,0,0
11:11:42 Feb 28 2024,96,73,70,0,0
11:11:46 Feb 28 2024,96,73,5,0,0
11:11:50 Feb 28 2024,96,73,4,0,0
11:11:54 Feb 28 2024,96,73,7,0,0
11:11:58 Feb 28 2024,96,72,0,0,0
11:12:02 Feb 28 2024,97,75,13,0,0
11:12:06 Feb 28 2024,97,76,42,0,0
11:12:10 Feb 28 2024,97,77,2,0,0
11:12:14 Feb 28 2024,96,73,3,0,0
11:12:18 Feb 28 2024,96,73,0,0,0
11:12:22 Feb 28 2024,96,72,0,0,0
11:12:26 Feb 28 2024,96,71,0,0,0
11:12:30 Feb 28 2024,96,71,29,0,0
11:12:34 Feb 28 2024,96,71,56,0,0
11:12:38 Feb 28 2024,96,71,13,0,0
11:12:42 Feb 28 2024,96,72,10,0,0
11:12:46 Feb 28 2024,96,72,1,0,0
11:12:50 Feb 28 2024,96,72,10,0,0
11:12:54 Feb 28 2024,96,73,4,0,0
11:12:58 Feb 28 2024,96,73,20,0,0
11:13:02 Feb 28 2024,96,74,5,0,0
11:13:06 Feb 28 2024,96,74,8,0,0
11:13:10 Feb 28 2024,96,73,5,0,0
11:13:14 Feb 28 2024,96,73,25,0,0
11:13:18 Feb 28 2024,96,73,28,0,0
11:13:22 Feb 28 2024,96,73,33,0,0
11:13:26 Feb 28 2024,96,74,0,0,0
11:13:30 Feb 28 2024,96,76,0,0,0
11:13:34 Feb 28 2024,94,76,15,0,0
11:13:38 Feb 28 2024,94,75,12,0,0
11:13:42 Feb 28 2024,95,74,12,0,0
11:13:46 Feb 28 2024,95,75,8,0,0
11:13:50 Feb 28 2024,95,77,6,0,0
11:13:54 Feb 28 2024,96,76,29,0,0
11:13:58 Feb 28 2024,96,77,7,0,0
11:14:02 Feb 28 2024,96,75,3,0,0
11:14:06 Feb 28 2024,96,72,4,0,0
11:14:10 Feb 28 2024,96,74,2,0,0
11:14:14 Feb 28 2024,96,74,11,0,0
11:14:18 Feb 28 2024,96,74,98,0,0
11:14:22 Feb 28 2024,96,74,23,0,0
11:14:26 Feb 28 2024,96,76,12,0,0
11:14:30 Feb 28 2024,96,76,40,0,0
11:14:34 Feb 28 2024,96,76,11,0,0
11:14:38 Feb 28 2024,96,76,11,0,0
11:14:42 Feb 28 2024,96,79,44,0,0
11:14:46 Feb 28 2024,95,78,3,0,0
11:14:50 Feb 28 2024,95,78,62,0,0
11:14:54 Feb 28 2024,94,77,11,0,0
11:14:58 Feb 28 2024,94,73,6,0,0
11:15:02 Feb 28 2024,94,73,30,0,0
11:15:06 Feb 28 2024,95,71,2,0,0
11:15:10 Feb 28 2024,94,71,6,0,0
11:15:14 Feb 28 2024,94,79,15,0,0
11:15:18 Feb 28 2024,95,80,22,0,0
11:15:22 Feb 28 2024,96,80,15,0,0
11:15:26 Feb 28 2024,96,81,12,0,0
11:15:30 Feb 28 2024,97,83,16,0,0
11:15:34 Feb 28 2024,97,83,1,0,0
11:15:38 Feb 28 2024,97,89,12,0,0
11:15:42 Feb 28 2024,98,79,6,0,0
11:15:46 Feb 28 2024,97,74,0,0,0
11:15:50 Feb 28 2024,97,71,15,0,0
11:15:54 Feb 28 2024,96,69,5,0,0
11:15:58 Feb 28 2024,96,72,1,0,0
11:16:02 Feb 28 2024,96,72,27,0,0
11:16:06 Feb 28 2024,96,73,5,0,0
11:16:10 Feb 28 2024,96,73,8,0,0
11:16:14 Feb 28 2024,96,74,42,0,0
11:16:18 Feb 28 2024,95,75,15,0,0
11:16:22 Feb 28 2024,95,75,13,0,0
11:16:26 Feb 28 2024,95,72,36,0,0
11:16:30 Feb 28 2024,95,72,42,0,0
11:16:34 Feb 28 2024,95,72,2,0,0
11:16:38 Feb 28 2024,95,72,14,0,0
11:16:42 Feb 28 2024,95,70,9,0,0
11:16:46 Feb 28 2024,95,70,5,0,0
11:16:50 Feb 28 2024,96,72,3,0,0
11:16:54 Feb 28 2024,96,72,0,0,0
11:16:58 Feb 28 2024,96,73,5,0,0
11:17:02 Feb 28 2024,96,69,21,0,0
11:17:06 Feb 28 2024,96,67,2,0,0
11:17:10 Feb 28 2024,95,69,2,0,0
11:17:14 Feb 28 2024,95,68,0,0,0
11:17:18 Feb 28 2024,95,68,29,0,0
11:17:22 Feb 28 2024,95,68,17,0,0
11:17:26 Feb 28 2024,95,68,13,0,0
11:17:30 Feb 28 2024,94,70,0,0,0
11:17:34 Feb 28 2024,95,72,0,0,0
11:17:38 Feb 28 2024,95,72,25,0,0
11:17:42 Feb 28 2024,95,72,5,0,0
11:17:46 Feb 28 2024,95,71,0,0,0
11:17:50 Feb 28 2024,96,64,1,0,0
11:17:54 Feb 28 2024,95,66,21,0,0
11:17:58 Feb 28 2024,95,66,4,0,0
11:18:02 Feb 28 2024,95,67,4,0,0
11:18:06 Feb 28 2024,95,68,13,0,0
11:18:10 Feb 28 2024,95,70,14,0,0
11:18:14 Feb 28 2024,95,76,3,0,0
11:18:18 Feb 28 2024,95,73,2,0,0
11:18:22 Feb 28 2024,96,72,0,0,0
11:18:26 Feb 28 2024,96,73,2,0,0
11:18:30 Feb 28 2024,96,73,0,0,0
11:18:34 Feb 28 2024,96,73,0,0,0
11:18:38 Feb 28 2024,96,73,1,0,0
11:18:42 Feb 28 2024,96,72,0,0,0
11:18:46 Feb 28 2024,96,71,7,0,0
11:18:50 Feb 28 2024,96,71,20,0,0
11:18:54 Feb 28 2024,95,72,2,0,0
11:18:58 Feb 28 2024,95,75,0,0,0
11:19:02 Feb 28 2024,95,75,53,0,0
11:19:06 Feb 28 2024,95,75,9,0,0
11:19:10 Feb 28 2024,95,75,3,0,0
11:19:14 Feb 28 2024,94,80,0,0,0
11:19:18 Feb 28 2024,94,80,14,0,0
11:19:22 Feb 28 2024,94,81,53,0,0
11:19:26 Feb 28 2024,95,81,18,0,0
11:19:30 Feb 28 2024,96,78,5,0,0
11:19:34 Feb 28 2024,96,77,1,0,0
11:19:38 Feb 28 2024,97,74,0,0,0
11:19:42 Feb 28 2024,96,77,20,0,0
11:19:46 Feb 28 2024,96,77,19,0,0
11:19:50 Feb 28 2024,96,77,12,0,0
11:19:54 Feb 28 2024,96,75,9,0,0
11:19:58 Feb 28 2024,96,74,0,0,0
11:20:02 Feb 28 2024,95,70,6,0,0
11:20:06 Feb 28 2024,96,69,2,0,0
11:20:10 Feb 28 2024,96,69,13,0,0
11:20:14 Feb 28 2024,96,69,10,0,0
11:20:18 Feb 28 2024,95,68,0,0,0
11:20:22 Feb 28 2024,95,70,0,0,0
11:20:26 Feb 28 2024,95,72,0,0,0
